,Year,Date,?,Schl,Rk.,?.1,Opp,Rk..1,?.2,?.3,PTS,OPP,MOV,?.4,OT,playoff
71,2016-17,2017-03-14,,Mount St. Mary's,,,New Orleans,,W,,67,66,1,,,True
72,2016-17,2017-03-15,,UC Davis,,,North Carolina Central,,W,,67,63,4,,,True
73,2016-17,2017-03-15,,Southern California,,,Providence,,W,,75,71,4,,,True
74,2016-17,2017-03-16,,Arizona,4,,North Dakota,,W,,100,82,18,,,True
75,2016-17,2017-03-16,,Butler,21,,Winthrop,,W,,76,64,12,,,True
76,2016-17,2017-03-16,,Florida,20,,East Tennessee State,,W,,80,65,15,,,True
77,2016-17,2017-03-16,,Florida State,16,,Florida Gulf Coast,,W,,86,80,6,,,True
78,2016-17,2017-03-16,,Gonzaga,2,,South Dakota State,,W,,66,46,20,,,True
79,2016-17,2017-03-16,,Iowa State,16,,Nevada,,W,,84,73,11,,,True
80,2016-17,2017-03-16,,Xavier,,,Maryland,,W,,76,65,11,,,True
81,2016-17,2017-03-16,,Middle Tennessee,,,Minnesota,,W,,81,72,9,,,True
82,2016-17,2017-03-16,,Northwestern,,,Vanderbilt,,W,,68,66,2,,,True
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
84,2016-17,2017-03-16,,Notre Dame,14,,Princeton,,W,,60,58,2,,,True
85,2016-17,2017-03-16,,Purdue,15,,Vermont,,W,,80,70,10,,,True
86,2016-17,2017-03-16,,Saint Mary's (CA),22,,Virginia Commonwealth,,W,,85,77,8,,,True
87,2016-17,2017-03-16,,Villanova,1,,Mount St. Mary's,,W,,76,56,20,,,True
88,2016-17,2017-03-16,,Virginia,24,,UNC Wilmington,,W,,76,71,5,,,True
89,2016-17,2017-03-16,,West Virginia,13,,Bucknell,,W,,86,80,6,,,True
90,2016-17,2017-03-16,,Wisconsin,25,,Virginia Tech,,W,,84,74,10,,,True
91,2016-17,2017-03-17,,Arkansas,,,Seton Hall,,W,,77,71,6,,,True
92,2016-17,2017-03-17,,Baylor,12,,New Mexico State,,W,,91,73,18,,,True
93,2016-17,2017-03-17,,Cincinnati,18,,Kansas State,,W,,75,61,14,,,True
94,2016-17,2017-03-17,,Rhode Island,,,Creighton,,W,,84,72,12,,,True
95,2016-17,2017-03-17,,Wichita State,19,,Dayton,,W,,64,58,6,,,True
96,2016-17,2017-03-17,,Duke,7,,Troy,,W,,87,65,22,,,True
97,2016-17,2017-03-17,,Kansas,3,,UC Davis,,W,,100,62,38,,,True
98,2016-17,2017-03-17,,Kentucky,5,,Northern Kentucky,,W,,79,70,9,,,True
99,2016-17,2017-03-17,,Louisville,10,,Jacksonville State,,W,,78,63,15,,,True
100,2016-17,2017-03-17,,Michigan State,,,Miami (FL),,W,,78,58,20,,,True
101,2016-17,2017-03-17,,Michigan,23,,Oklahoma State,,W,,92,91,1,,,True
102,2016-17,2017-03-17,,North Carolina,6,,Texas Southern,,W,,103,64,39,,,True
103,2016-17,2017-03-17,,Oregon,9,,Iona,,W,,93,77,16,,,True
0,2016-17,2017-03-17,,South Carolina,,,Marquette,,W,,93,73,20,,,True
1,2016-17,2017-03-17,,Southern California,,,Southern Methodist,11,W,,66,65,1,,,True
2,2016-17,2017-03-17,,UCLA,8,,Kent State,,W,,97,80,17,,,True
3,2016-17,2017-03-18,,Arizona,4,,Saint Mary's (CA),22,W,,69,60,9,,,True
4,2016-17,2017-03-18,,Butler,21,,Middle Tennessee,,W,,74,65,9,,,True
5,2016-17,2017-03-18,,Florida,20,,Virginia,24,W,,65,39,26,,,True
6,2016-17,2017-03-18,,Xavier,,,Florida State,16,W,,91,66,25,,,True
7,2016-17,2017-03-18,,Gonzaga,2,,Northwestern,,W,,79,73,6,,,True
8,2016-17,2017-03-18,,Purdue,15,,Iowa State,16,W,,80,76,4,,,True
9,2016-17,2017-03-18,,Wisconsin,25,,Villanova,1,W,,65,62,3,,,True
10,2016-17,2017-03-18,,West Virginia,13,,Notre Dame,14,W,,83,71,12,,,True
11,2016-17,2017-03-19,,Baylor,12,,Southern California,,W,,82,78,4,,,True
12,2016-17,2017-03-19,,South Carolina,,,Duke,7,W,,88,81,7,,,True
13,2016-17,2017-03-19,,Kansas,3,,Michigan State,,W,,90,70,20,,,True
14,2016-17,2017-03-19,,Kentucky,5,,Wichita State,19,W,,65,62,3,,,True
15,2016-17,2017-03-19,,Michigan,23,,Louisville,10,W,,73,69,4,,,True
16,2016-17,2017-03-19,,North Carolina,6,,Arkansas,,W,,72,65,7,,,True
17,2016-17,2017-03-19,,Oregon,9,,Rhode Island,,W,,75,72,3,,,True
18,2016-17,2017-03-19,,UCLA,8,,Cincinnati,18,W,,79,67,12,,,True
19,2016-17,2017-03-23,,Xavier,,,Arizona,4,W,,73,71,2,,,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
21,2016-17,2017-03-23,,Gonzaga,2,,West Virginia,13,W,,61,58,3,,,True
22,2016-17,2017-03-23,,Kansas,3,,Purdue,15,W,,98,66,32,,,True
23,2016-17,2017-03-23,,Oregon,9,,Michigan,23,W,,69,68,1,,,True
24,2016-17,2017-03-24,,South Carolina,,,Baylor,12,W,,70,50,20,,,True
25,2016-17,2017-03-24,,Florida,20,,Wisconsin,25,W,,84,83,1,,1,True
26,2016-17,2017-03-24,,Kentucky,5,,UCLA,8,W,,86,75,11,,,True
27,2016-17,2017-03-24,,North Carolina,6,,Butler,21,W,,92,80,12,,,True
28,2016-17,2017-03-25,,Gonzaga,2,,Xavier,,W,,83,59,24,,,True
29,2016-17,2017-03-25,,Oregon,9,,Kansas,3,W,,74,60,14,,,True
30,2016-17,2017-03-26,,South Carolina,,,Florida,20,W,,77,70,7,,,True
31,2016-17,2017-03-26,,North Carolina,6,,Kentucky,5,W,,75,73,2,,,True
32,2016-17,2017-04-01,,Gonzaga,2,,South Carolina,,W,,77,73,4,,,True
33,2016-17,2017-04-01,,North Carolina,6,,Oregon,9,W,,77,76,1,,,True
34,2016-17,2017-04-03,,North Carolina,6,,Gonzaga,2,W,,71,65,6,,,True
0,2016-17,2017-03-14,,Kansas State,,,Wake Forest,,W,,95,88,7,,,True
1,2016-17,2017-03-14,,Mount St. Mary's,,,New Orleans,,W,,67,66,1,,,True
2,2016-17,2017-03-15,,UC Davis,,,North Carolina Central,,W,,67,63,4,,,True
3,2016-17,2017-03-15,,Southern California,,,Providence,,W,,75,71,4,,,True
4,2016-17,2017-03-16,,Arizona,4,,North Dakota,,W,,100,82,18,,,True
5,2016-17,2017-03-16,,Butler,21,,Winthrop,,W,,76,64,12,,,True
6,2016-17,2017-03-16,,Florida,20,,East Tennessee State,,W,,80,65,15,,,True
7,2016-17,2017-03-16,,Florida State,16,,Florida Gulf Coast,,W,,86,80,6,,,True
8,2016-17,2017-03-16,,Gonzaga,2,,South Dakota State,,W,,66,46,20,,,True
9,2016-17,2017-03-16,,Iowa State,16,,Nevada,,W,,84,73,11,,,True
10,2016-17,2017-03-16,,Xavier,,,Maryland,,W,,76,65,11,,,True
11,2016-17,2017-03-16,,Middle Tennessee,,,Minnesota,,W,,81,72,9,,,True
12,2016-17,2017-03-16,,Northwestern,,,Vanderbilt,,W,,68,66,2,,,True
13,2016-17,2017-03-16,,Notre Dame,14,,Princeton,,W,,60,58,2,,,True
14,2016-17,2017-03-16,,Purdue,15,,Vermont,,W,,80,70,10,,,True
15,2016-17,2017-03-16,,Saint Mary's (CA),22,,Virginia Commonwealth,,W,,85,77,8,,,True
16,2016-17,2017-03-16,,Villanova,1,,Mount St. Mary's,,W,,76,56,20,,,True
17,2016-17,2017-03-16,,Virginia,24,,UNC Wilmington,,W,,76,71,5,,,True
18,2016-17,2017-03-16,,West Virginia,13,,Bucknell,,W,,86,80,6,,,True
19,2016-17,2017-03-16,,Wisconsin,25,,Virginia Tech,,W,,84,74,10,,,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
21,2016-17,2017-03-17,,Arkansas,,,Seton Hall,,W,,77,71,6,,,True
22,2016-17,2017-03-17,,Baylor,12,,New Mexico State,,W,,91,73,18,,,True
23,2016-17,2017-03-17,,Cincinnati,18,,Kansas State,,W,,75,61,14,,,True
24,2016-17,2017-03-17,,Rhode Island,,,Creighton,,W,,84,72,12,,,True
25,2016-17,2017-03-17,,Wichita State,19,,Dayton,,W,,64,58,6,,,True
26,2016-17,2017-03-17,,Duke,7,,Troy,,W,,87,65,22,,,True
27,2016-17,2017-03-17,,Kansas,3,,UC Davis,,W,,100,62,38,,,True
28,2016-17,2017-03-17,,Kentucky,5,,Northern Kentucky,,W,,79,70,9,,,True
29,2016-17,2017-03-17,,Louisville,10,,Jacksonville State,,W,,78,63,15,,,True
30,2016-17,2017-03-17,,Michigan State,,,Miami (FL),,W,,78,58,20,,,True
31,2016-17,2017-03-17,,Michigan,23,,Oklahoma State,,W,,92,91,1,,,True
32,2016-17,2017-03-17,,North Carolina,6,,Texas Southern,,W,,103,64,39,,,True
33,2016-17,2017-03-17,,Oregon,9,,Iona,,W,,93,77,16,,,True
34,2016-17,2017-03-17,,South Carolina,,,Marquette,,W,,93,73,20,,,True
